Plot_ID,species,Phenophase,year,Month,DOY,cover,lat,long,jan,feb,mar,april,may,june,july,aug,sept,oct,nov,dec,winter,spring,summer,fall,MAT,MAT_av,MAP_av,MSP_av
0609-180,Gaultheria shallon,Flower,1980,6,162,2,47.38488792,-123.6632682,-1.637096774,3.008928571,3.733870968,8.733333333,12.275,10.25,14.96774194,14.42741935,12.79166667,9.10483871,3.68125,5.083333333,2.15172171,8.247401434,13.21505376,8.52591846,8.035023842,9.1,4400,688
0609-188,Gaultheria shallon,Flower,1980,7,184,2,47.51434576,-123.192382,-0.540322581,3.705357143,4.556451613,8.308333333,9.516666667,11.125,14.67741935,14.19354839,12.5,9.548387097,4.28125,6.107142857,3.090725806,7.460483871,13.33198925,8.776545699,8.164936156,8.4,2477,360
0605-2355,Gaultheria shallon,Flower,1980,7,197,20,47.18591321,-121.4901691,-3.701612903,1.633928571,3.193548387,8.183333333,11.88333333,10.1,15.71774194,14.48387097,12.99166667,9.556451613,2.575,3.916666667,0.616327445,7.753405017,13.43387097,8.374372761,7.544494048,6.2,1872,307
0605-2361,Gaultheria shallon,Flower,1980,7,198,1,47.15361922,-121.5109772,-3.701612903,1.633928571,3.193548387,8.183333333,11.88333333,10.1,15.71774194,14.48387097,12.99166667,9.556451613,2.575,3.916666667,0.616327445,7.753405017,13.43387097,8.374372761,7.544494048,5.4,2133,351
0605-2364,Gaultheria shallon,Flower,1980,7,198,8,47.16987774,-121.5219239,-3.701612903,1.633928571,3.193548387,8.183333333,11.88333333,10.1,15.71774194,14.48387097,12.99166667,9.556451613,2.575,3.916666667,0.616327445,7.753405017,13.43387097,8.374372761,7.544494048,5.8,2063,336
0605-2368,Gaultheria shallon,Flower,1980,7,199,2,47.17449699,-121.5312446,-3.701612903,1.633928571,3.193548387,8.183333333,11.88333333,10.1,15.71774194,14.48387097,12.99166667,9.556451613,2.575,3.916666667,0.616327445,7.753405017,13.43387097,8.374372761,7.544494048,6.1,1955,316
0605-2370,Gaultheria shallon,Flower,1980,7,199,10,47.17944135,-121.5336686,-3.701612903,1.633928571,3.193548387,8.183333333,11.88333333,10.1,15.71774194,14.48387097,12.99166667,9.556451613,2.575,3.916666667,0.616327445,7.753405017,13.43387097,8.374372761,7.544494048,6.3,1868,300
0605-2338,Gaultheria shallon,Flower,1980,7,199,15,47.27043986,-121.5396443,-4.580645161,0.330357143,1.403225806,6.466666667,9.916666667,8.341666667,14.08064516,12.86290323,11.51666667,8.346774194,1.3625,3.714285714,-0.178667435,5.928853047,11.76173835,7.075313621,6.146809396,5.7,2564,452
0605-2374,Gaultheria shallon,Flower,1980,7,199,40,47.19064415,-121.5434983,-3.701612903,1.633928571,3.193548387,8.183333333,11.88333333,10.1,15.71774194,14.48387097,12.99166667,9.556451613,2.575,3.916666667,0.616327445,7.753405017,13.43387097,8.374372761,7.544494048,7,1674,264
0609-276,Gaultheria shallon,Flower,1980,7,206,20,47.41981719,-123.8800737,-5.693548387,0.321428571,-2.685483871,2.775,6.591666667,4.7,10.77419355,10.37903226,8.675,6.709677419,-1.25,1.321428571,-1.350230415,2.227060932,8.617741937,4.71155914,3.551532898,9.6,3872,628
0609-277,Gaultheria shallon,Fruit,1980,7,206,45,47.4226468,-123.8865379,-5.693548387,0.321428571,-2.685483871,2.775,6.591666667,4.7,10.77419355,10.37903226,8.675,6.709677419,-1.25,1.321428571,-1.350230415,2.227060932,8.617741937,4.71155914,3.551532898,9.7,3734,610
0609-280,Gaultheria shallon,Fruit,1980,7,206,50,47.33920424,-123.8691491,-3.75,0.892857143,0.467741935,4.883333333,7.725,6.341666667,12.99193548,11.21774194,10.06666667,7.362903226,0.55,3.392857143,0.178571429,4.358691756,10.18378136,5.993189965,5.178558628,9.4,3498,573
0609-288,Gaultheria shallon,Fruit,1980,7,210,85,47.34952611,-123.8314384,-8.588709677,-3.508928571,-6.588709677,-1.141666667,0.425,-0.041666667,6.427419355,4.5,3.941666667,2.306451613,-6.025,0.607142857,-3.83016513,-2.435125448,3.628584229,0.07437276,-0.640583397,9.5,3473,561
0609-318,Gaultheria shallon,Fruit,1980,7,211,1,47.39831076,-123.7939062,6.451612903,9.116071429,5.661290323,8.15,10.41666667,8.85,12.84677419,10.53225806,11.68333333,10.33870968,7.63125,9.583333333,8.383672555,8.075985664,10.74301075,9.884431003,9.271774993,9.3,3752,590
0609-316,Gaultheria shallon,Fruit,1980,7,211,60,47.40016923,-123.8162784,6.451612903,9.116071429,5.661290323,8.15,10.41666667,8.85,12.84677419,10.53225806,11.68333333,10.33870968,7.63125,9.583333333,8.383672555,8.075985664,10.74301075,9.884431003,9.271774993,9.1,4058,627
0609-338,Gaultheria shallon,Fruit,1980,7,212,2,47.36320011,-123.8730395,-5.693548387,0.321428571,-2.685483871,2.775,6.591666667,4.7,10.77419355,10.37903226,8.675,6.709677419,-1.25,1.321428571,-1.350230415,2.227060932,8.617741937,4.71155914,3.551532898,9.3,3919,624
0609-342,Gaultheria shallon,Fruit,1980,7,212,2,47.35565399,-123.8594879,-5.693548387,0.321428571,-2.685483871,2.775,6.591666667,4.7,10.77419355,10.37903226,8.675,6.709677419,-1.25,1.321428571,-1.350230415,2.227060932,8.617741937,4.71155914,3.551532898,9.4,3718,597
0609-340,Gaultheria shallon,Fruit,1980,7,212,5,47.37099055,-123.8590218,-5.693548387,0.321428571,-2.685483871,2.775,6.591666667,4.7,10.77419355,10.37903226,8.675,6.709677419,-1.25,1.321428571,-1.350230415,2.227060932,8.617741937,4.71155914,3.551532898,9.4,3954,626
0609-345,Gaultheria shallon,Fruit,1980,7,212,10,47.35784489,-123.8504658,-5.693548387,0.321428571,-2.685483871,2.775,6.591666667,4.7,10.77419355,10.37903226,8.675,6.709677419,-1.25,1.321428571,-1.350230415,2.227060932,8.617741937,4.71155914,3.551532898,9.4,3704,593
0609-336,Gaultheria shallon,Fruit,1980,7,212,40,47.36506683,-123.8783944,-5.693548387,0.321428571,-2.685483871,2.775,6.591666667,4.7,10.77419355,10.37903226,8.675,6.709677419,-1.25,1.321428571,-1.350230415,2.227060932,8.617741937,4.71155914,3.551532898,9.4,3898,621
0609-315,Gaultheria shallon,Fruit,1980,7,212,40,47.35367496,-123.8665795,-5.693548387,0.321428571,-2.685483871,2.775,6.591666667,4.7,10.77419355,10.37903226,8.675,6.709677419,-1.25,1.321428571,-1.350230415,2.227060932,8.617741937,4.71155914,3.551532898,9.4,3725,599
0609-347,Gaultheria shallon,Fruit,1980,8,213,2,47.36715267,-123.7843528,6.451612903,9.116071429,5.661290323,8.15,10.41666667,8.85,12.84677419,10.53225806,11.68333333,10.33870968,7.63125,9.583333333,8.383672555,8.075985664,10.74301075,9.884431003,9.271774993,9.4,3622,584
0609-372,Gaultheria shallon,Fruit,1980,8,217,1,47.39580612,-123.7652581,6.451612903,9.116071429,5.661290323,8.15,10.41666667,8.85,12.84677419,10.53225806,11.68333333,10.33870968,7.63125,9.583333333,8.383672555,8.075985664,10.74301075,9.884431003,9.271774993,9.2,4057,634
0609-407,Gaultheria shallon,Fruit,1980,8,219,3,47.31018433,-123.7424955,1.967741935,5.919642857,6.612903226,9.575,12.625,10.79166667,15.7983871,14.75,13.925,11.22580645,6.6375,8.107142857,5.331509216,9.604301075,13.78001792,10.59610215,9.827982591,9.5,3752,600
0609-424,Gaultheria shallon,Fruit,1980,8,220,15,47.39907978,-123.6829011,-1.637096774,3.008928571,3.733870968,8.733333333,12.275,10.25,14.96774194,14.42741935,12.79166667,9.10483871,3.68125,5.083333333,2.15172171,8.247401434,13.21505376,8.52591846,8.035023842,8.9,4530,705
0605-2622,Gaultheria shallon,Fruit,1980,8,226,15,47.44968346,-121.5015912,-3.217741935,1.9375,3.25,8.241666667,11.79166667,10.04166667,15.58870968,14.47580645,12.90833333,9.629032258,2.86875,4.452380952,1.057379672,7.761111112,13.3687276,8.468705196,7.663980895,5.3,3525,759
0605-2627,Gaultheria shallon,Fruit,1980,8,227,7,47.40564458,-121.4946495,-3.217741935,1.9375,3.25,8.241666667,11.79166667,10.04166667,15.58870968,14.47580645,12.90833333,9.629032258,2.86875,4.452380952,1.057379672,7.761111112,13.3687276,8.468705196,7.663980895,5.7,3007,585
0605-2473,Gaultheria shallon,Fruit,1980,8,231,25,47.04510137,-121.7751506,-4.14516129,0.75,0.064516129,5.1,7.6,6.375,12.35483871,10.96774194,9.766666667,7.346774194,0.23125,3.785714286,0.130184332,4.25483871,9.89919355,5.78156362,5.016445053,5.4,2155,477
0605-2475,Gaultheria shallon,Fruit,1980,8,231,65,47.03927291,-121.7804703,-4.14516129,0.75,0.064516129,5.1,7.6,6.375,12.35483871,10.96774194,9.766666667,7.346774194,0.23125,3.785714286,0.130184332,4.25483871,9.89919355,5.78156362,5.016445053,5.3,2161,491
0605-2467,Gaultheria shallon,Flower,1980,8,231,95,47.05633535,-121.7712722,-3.443548387,1.366071429,1.193548387,6.041666667,8.783333333,7.425,13.21774194,11.95967742,10.68333333,8.120967742,1.29375,4.357142857,0.759888633,5.339516129,10.86747312,6.699350357,5.91655706,5.6,2128,459
0605-2442,Gaultheria shallon,Flower,1980,8,234,65,47.06139906,-121.6261279,-3.153225806,2.035714286,3.225806452,8.183333333,11.54166667,9.866666667,15.5483871,14.35483871,12.775,9.685483871,2.80625,4.238095238,1.040194573,7.650268818,13.25663083,8.422244624,7.59233471,6,1453,247
0605-2441,Gaultheria shallon,Fruit,1980,8,234,85,47.07087152,-121.6198652,-3.153225806,2.035714286,3.225806452,8.183333333,11.54166667,9.866666667,15.5483871,14.35483871,12.775,9.685483871,2.80625,4.238095238,1.040194573,7.650268818,13.25663083,8.422244624,7.59233471,6.1,1419,244
